docNo,items
0,"['SHREENIDHI --- PROPN', 'SHIPPING --- PROPN', 'PVT --- PROPN', 'LTD --- PROPN', '\n --- SPACE', 'SHIPPING --- PROPN', 'CLEARING --- PROPN', 'FORWARDING --- PROPN', 'AGENT --- PROPN', '\n --- SPACE', 'No.1 --- NOUN', 'ANGAPPA --- PROPN', 'NAICKEN --- PROPN', 'STREET --- PROPN', 'GROUND --- NOUN', 'FLOOR --- NOUN', '\n --- SPACE', 'CHENNAI-600 --- PROPN', '001.Ph:044 --- PROPN', '25242393 --- NUM', 'Fax:044 --- PROPN', '43517120 --- NUM', '\n --- SPACE', 'S.T.REGN --- PROPN', 'NO.AASCS8890BSD001 --- PROPN', '\n --- SPACE', 'INVOICE --- NOUN', 'EXPORT --- NOUN', '\n --- SPACE', '© --- NUM', '1130 --- NUM', '92202 --- NUM', '\n --- SPACE', 'PARTY:- --- PROPN', '|M --- PROPN', 's --- NOUN', 'Amararaja --- PROPN', 'Batteries --- PROPN', 'Ltd. --- PROPN', 'Date --- NOUN', '18.04.17 --- NUM', '\n --- SPACE', 'Renigunta --- PROPN', 'Cuddapah --- PROPN', 'Road --- PROPN', 'INVOICE --- NOUN', 'NO|004/18.04.17 --- PROPN', '4 --- NUM', '\n --- SPACE', 'Karakambadi --- PROPN', 'tirupati --- PROPN', 'F.NO --- PROPN', '003/2016 --- NUM', '17 --- NUM', '\n --- SPACE', 'MATERIAL --- PROPN', '|BATTERIES --- PROPN', 'cont --- PROPN', '|02x20 --- PROPN', '\n --- SPACE', 'INV.NO --- PROPN', '1700200005,007 --- NUM', '04.04.17 --- NUM', 'CON.NO --- PROPN', '|TCKU3252711,TCKU3333979 --- X', '\n --- SPACE', 'SB.NO --- PROPN', '5209093/04.04.17 --- NUM', 'PKg --- PROPN', 'PLT --- PROPN', '20 --- NUM', 'Pallets --- NOUN', '\n --- SPACE', 'INV.VALUE --- PROPN', '|2,499,215.04 --- PROPN', 'Gr --- PROPN', 'Wt --- PROPN', '33106 --- NUM', 'KGS --- NOUN', '\n --- SPACE', 'Cleared --- VERB', '05.04.17 --- NUM', '\n --- SPACE', 'Imburseble --- ADJ', '\n --- SPACE', '\n --- SPACE', '1 --- NUM', 'CFS --- PROPN', 'Charges --- PROPN', 'Rs.1840 --- PROPN', '-----CWC --- PROPN', '1,840.00 --- NUM', '\n --- SPACE', '2 --- NUM', 'Fumigation --- PROPN', 'Services --- PROPN', 'Charges --- NOUN', 'Rs.100.00 --- NOUN', '100.00 --- NUM', '\n --- SPACE', '3 --- NUM', 'Certificate --- PROPN', 'orgin --- PROPN', 'charges --- NOUN', 'Rs.150x1 --- PROPN', '150.00 --- NUM', '\n --- SPACE', '4 --- NUM', 'Transport --- NOUN', 'Charges --- NOUN', 'Renigunta --- PROPN', 'Chennai --- PROPN', 'Rs.17570x2 --- PROPN', '35,140.00 --- NUM', '\n --- SPACE', 'Service --- NOUN', 'Tax --- NOUN', 'Payable --- ADJ', 'Consignee --- PROPN', '\n --- SPACE', '5 --- NUM', 'Documentation --- PROPN', 'Charges --- NOUN', '300.00 --- NUM', '\n --- SPACE', '6 --- NUM', 'Customs --- PROPN', 'Inspection --- PROPN', 'Examination --- PROPN', 'Charges --- PROPN', 'Rs.600x02 --- PROPN', '1200.00 --- NUM', '\n --- SPACE', '7 --- NUM', 'Service --- PROPN', 'Charges --- PROPN', 'Rs.1000x02 --- NOUN', '2000.00 --- NUM', '\n --- SPACE', 'Total --- ADJ', '37,230.00 --- NUM', '3500.00 --- NUM', '\n --- SPACE', 'Service --- PROPN', 'Tax --- PROPN', '14.00 --- NUM', '\n --- SPACE', 'Swachh --- PROPN', 'Bharat --- PROPN', 'Cess --- PROPN', '0.5 --- NUM', '18.00 --- NUM', '\n --- SPACE', 'Pye --- PROPN', '\n --- SPACE', 'Krishi --- PROPN', 'Kalyan --- PROPN', 'Cess --- PROPN', '0.5 --- NUM', 'tf --- NOUN', '18.00 --- NUM', '\n --- SPACE', 'Sub --- PROPN', 'Total --- PROPN', 'WA --- PROPN', '\n --- SPACE', '| --- NOUN', 'Rupees --- NOUN', 'Thousand --- NUM', 'Iwo --- PROPN', 'AndFiftySixOnly --- NOUN', '|__| --- PROPN', '\n --- SPACE', 'EE --- PROPN', 'OFXCEPTED --- PROPN', 'CSE --- PROPN', 'SH --- PROPN', 'Home --- PROPN', 'Tega --- PROPN', 'g --- PROPN', 'S80| --- PROPN', 'ABD --- PROPN', '\n --- SPACE', '> --- X', 'ct --- PROPN', 'NA --- PROPN', '\n --- SPACE', 'Shreenidhi --- PROPN', 'Shipping --- PROPN', 'Pvt --- PROPN', 'Ltd. --- PROPN', 'Angin --- PROPN', 'oy --- PROPN', 'FCOSCOOOS --- PROPN', 'OOF --- PROPN', '\n --- SPACE', 'e --- X', 'Naicken --- PROPN', 'Prepared --- VERB', 'U --- PROPN', 'Co --- PROPN', 'AA --- PROPN', '\n --- SPACE', 'BA --- PROPN', 'street --- NOUN', 'ZS --- PROPN', 'Pies --- NOUN', '= --- SYM', 'CCOOT --- PROPN', 'Sy --- PROPN', '\n --- SPACE', 'yp --- PROPN', '4 --- NUM', 'Checked --- VERB', 'Verified --- VERB', '| --- NOUN', '< --- X', 'b --- PROPN', 'ome --- PROPN', '| --- ADJ', '\n --- SPACE', 'Authorised --- PROPN', 'Signatory --- PROPN', 'ANAS --- PROPN', '+ --- ADJ', '+ --- NOUN', 'e --- NOUN', 'Seen --- VERB', '| --- ADJ', '\n --- SPACE', 'ANA --- PROPN']"
1,"['y --- PROPN', 'Joh --- PROPN', 'Ni --- PROPN', 'AMARA --- PROPN', 'RAJA --- PROPN', 'BATTERIES --- PROPN', 'LIMITED --- PROPN', '2 --- NUM', 'l --- NOUN', '\n --- SPACE', 'jonnson --- PROPN', 'oe --- PROPN', '\n --- SPACE', 'Karakambadi --- PROPN', 'Tirupathi --- PROPN', 'Andhra --- PROPN', 'Pradesh --- PROPN', 'INDIA --- PROPN', 'ic --- PROPN', '\n --- SPACE', 'sa --- NOUN', 'Controls --- NOUN', 'wath --- PROPN', 'c2eF --- NOUN', '0 --- NUM', '° --- NUM', '6 --- NUM', '\n --- SPACE', 'IEC --- PROPN', 'No:0988006723 --- PROPN', 'TIN --- PROPN', 'No:37630118190 --- PROPN', 'ee --- PROPN', '\n --- SPACE', 'b --- PROPN', '\n --- SPACE', 's --- PROPN', 'vv --- PROPN', '\n --- SPACE', 'INVOICE --- NOUN', '\n --- SPACE', 'Exporter --- NOUN', 'Manufacturer --- PROPN', 'Producer --- PROPN', 'Processor --- PROPN', 'Iny --- PROPN', 'Date --- PROPN', 'Exporter --- PROPN', 'Ref --- NOUN', '\n --- SPACE', 'Amara --- PROPN', 'Raja --- PROPN', 'Batteries --- PROPN', 'Ltd --- PROPN', '11700200007 --- NUM', 'pr04.04.2017 --- PROPN', '7200004280 --- NUM', '\n --- SPACE', 'Karakambadi --- PROPN', 'Tirupathi --- PROPN', 'Buyer --- PROPN', 'ref --- NOUN', 'Date --- PROPN', '\n --- SPACE', 'Andhra --- PROPN', 'Pradesh --- PROPN', 'INDIA.,517520 --- PROPN', 'P.O --- PROPN', '.No --- PUNCT', 'NWBTE/170217(AFMKT)#8 --- PROPN', 'Date --- NOUN', '17.02.2017 --- NUM', '\n --- SPACE', 'Tel --- NOUN', 'Fax --- NOUN', '0877 --- NUM', '2285600 --- NUM', '\n --- SPACE', 'Buyer --- PROPN', 'Consignee --- PROPN', '\n --- SPACE', 'NW --- PROPN', 'BATTERIEN --- PROPN', 'TRADING --- NOUN', 'NW --- PROPN', 'BATTERIEN --- PROPN', 'TRADING --- NOUN', '\n --- SPACE', 'ENTERPRISE --- PROPN', 'PTE --- PROPN', 'LTD --- PROPN', 'ENTERPRISE --- PROPN', 'PTE --- PROPN', 'LTD --- PROPN', '53 --- NUM', 'Ubi --- PROPN', 'Ave --- PROPN', '1,#03 --- NUM', '39 --- NUM', '\n --- SPACE', '53 --- NUM', 'Ubi --- PROPN', 'Ave --- PROPN', '1,#03 --- NUM', '39 --- NUM', '03 --- NUM', '40,Paya --- NUM', 'Ubi --- PROPN', 'Industrial --- PROPN', 'Park --- PROPN', '\n --- SPACE', '03 --- NUM', '40,Paya --- NUM', 'Ubi --- PROPN', 'Industrial --- PROPN', 'Park --- PROPN', '408934 --- NUM', 'Singapore --- PROPN', '\n --- SPACE', '408934 --- NUM', 'Singapore --- PROPN', '\n --- SPACE', 'Country --- NOUN', 'origin --- NOUN', 'goods --- NOUN', 'Country --- PROPN', 'Final --- PROPN', 'Destination --- PROPN', '\n --- SPACE', 'Place --- NOUN', 'receipt --- NOUN', 'Terms --- NOUN', 'Delivery --- NOUN', 'payment --- NOUN', 'CFR --- PROPN', 'Singapore --- PROPN', '\n --- SPACE', 'Carriage --- PROPN', 'Pre --- NOUN', 'carrier --- NOUN', 'CFR --- PROPN', 'singapore --- PROPN', '100%Payment.40daysafterDateofBillofLading --- PROPN', 'BNP --- PROPN', 'PARIBAS --- PROPN', 'Tren --- PROPN', '\n --- SPACE', 'BvRoad --- NOUN', '| --- NOUN', 'Set --- VERB', 'Towers,101,Ground --- PROPN', 'Floor --- PROPN', '8 --- NUM', '2 --- NUM', '269/10,Road --- NUM', '2 --- NUM', 'Banjara --- PROPN', 'Hills --- PROPN', 'Hyderabad --- PROPN', '540 --- NUM', '\n --- SPACE', 'Sea --- PROPN', 'Port --- PROPN', 'Loading --- PROPN', '934- --- NUM', 'INDIA --- PROPN', 'IndiaAccountNo.0937810572300136 --- PUNCT', '\n --- SPACE', 'Port --- PROPN', 'Discharge --- PROPN', '\n --- SPACE', 'Kind --- PROPN', 'Pkgs --- PROPN', 'Description --- PROPN', 'Goods --- NOUN', '\n --- SPACE', 'Amara --- PROPN', 'Raja --- PROPN', 'Batteries --- PROPN', 'Ltd. --- PROPN', '10 --- NUM', 'Wooden --- ADJ', 'Pallets --- PROPN', 'Stuffed --- VERB', '1x20 --- NUM', '| --- NOUN', 'LeadAcidStorageBatteriesofalltypes- --- PROPN', '\n --- SPACE', 'India --- PROPN', 'COntainer --- PROPN', '12VMF(WET)LeadAcidAmaron- --- NUM', '\n --- SPACE', 'HiLifeSLIBATTERIESHSCODE:8507 --- NOUN', '1000 --- NUM', '\n --- SPACE', 'Marks --- PROPN', 'Container --- NOUN', 'Seal --- NOUN', 'Item --- NOUN', 'Code --- NOUN', 'Colour --- NOUN', 'ty(Nos --- NUM', 'Rate --- NOUN', 'Unit --- NOUN', 'Total --- PROPN', '\n --- SPACE', 'TCKU --- PROPN', '333397 --- NUM', '9 --- NUM', 'BVKS --- PROPN', '00684 --- NUM', 'EAM --- PROPN', 'PR-00065B24L --- ADJ', 'GREEN --- PROPN', '256 --- NUM', '36.66 --- NUM', '9,384.96 --- NUM', '\n --- SPACE', 'EAM --- PROPN', 'HL-00042B20L --- PROPN', 'GREEN --- PROPN', '1,280 --- NUM', '26.70 --- NUM', '= --- SYM', '34,176.00 --- NUM', '\n --- SPACE', 'geo --- PROPN', 'eA --- PUNCT', 'Zo --- NOUN', '\n --- SPACE', 'De --- PROPN', 'Sa --- PROPN', '© --- NOUN', 'eee --- NOUN', '\n --- SPACE', 'ger --- NOUN', 'ss --- PROPN', '\n --- SPACE', 'oe --- PROPN', 'ed --- PROPN', 'Pa --- PROPN', 'Nee --- PROPN', '\n --- SPACE', 'Str --- PROPN', 'SP --- PROPN', 'OY --- PROPN', '\n --- SPACE', 'SOF --- PROPN', 'SA --- PROPN', 'Ma --- PROPN', 'Vn --- PROPN', '4 --- NUM', '\n --- SPACE', 'ei --- PROPN', 'mr --- PROPN', 'ee --- PROPN', 'het --- PROPN', '\n --- SPACE', 'eee --- PROPN', 'ee --- PROPN', 'Sa --- PROPN', '\n --- SPACE', 'p --- NOUN', 'Aske --- PROPN', '\n --- SPACE', 'r --- NOUN', '3 --- NUM', 'os --- NOUN', '\n --- SPACE', 'rs --- NOUN', 'aot --- VERB', '\n --- SPACE', 'eae --- PROPN', 'Tack --- PROPN', 'se --- X', '\n --- SPACE', 'INCO --- PROPN', 'TERMS --- NOUN', 'FR --- PROPN', 'Singapore --- PROPN', 'TOTAL --- NOUN', 'OTY --- PROPN', '1.536 --- NUM', '3D --- NOUN', '43,560.96 --- NUM', '\n --- SPACE', 'ICNo --- NOUN', 'NA --- NOUN', 'LC --- PROPN', 'Date --- NOUN', '\n --- SPACE', 'Words --- NOUN', 'USD --- PROPN', 'THOUSAND --- NUM', 'NINETY --- NUM', 'CENTS --- NOUN', '\n --- SPACE', 'P.1 --- PROPN', '1600800842 --- NUM', 'DT --- PROPN', '21 --- NUM', '02.2017 --- PUNCT', '\n --- SPACE', 'Declaration --- NOUN', 'declare --- VERB', 'Invoice --- PROPN', 'shows --- VERB', 'actual --- ADJ', 'price --- NOUN', 'goods --- NOUN', 'described --- VERB', 'particulars --- NOUN', 'true --- ADJ', 'correct --- ADJ', '\n --- SPACE', 'Bank --- PROPN', 'Address --- PROPN', 'ba --- PROPN', 'cine --- PROPN', 'LRAJA --- PROPN', 'BAY --- PROPN', '\n --- SPACE', 'ff --- NOUN', '\n --- SPACE', 'igid --- PROPN', '\n --- SPACE', 'pt --- PROPN', 'popes --- NOUN']"
2,"['SD --- PROPN', 'Pe --- PROPN', 'AMARA --- PROPN', 'RAJA --- PROPN', 'BATTERIES --- PROPN', 'LIMITS --- VERB', 't --- NOUN', '\n --- SPACE', 'Johnson --- PROPN', 'Karakambadi --- PROPN', 'Tirupathi --- PROPN', 'Andhra --- PROPN', 'Pradesh --- PROPN', 'INDIA --- PROPN', 'fh --- PROPN', '\n --- SPACE', 'AMARA --- PROPN', 'RAIA --- PROPN', 'Controls --- PROPN', 'UI --- PROPN', '\n --- SPACE', 'ener --- PROPN', 'IEC --- PROPN', 'No:0988006723 --- PROPN', 'TIN --- PROPN', 'No:37630118190 --- PROPN', '\n --- SPACE', 'INVOICE --- NOUN', '\n --- SPACE', 'russes --- NOUN', '-rier --- PROPN', 'Manufacturer --- PROPN', 'Producer --- PROPN', 'Processot --- PROPN', 'Iny --- PROPN', 'Date --- PROPN', 'Exporter --- PROPN', 'Ref --- NOUN', '\n --- SPACE', 'Amara --- PROPN', 'Raja --- PROPN', 'Batteries --- PROPN', 'Ltd --- PROPN', '9020000 --- NUM', 'pt.04.04.20 --- PROPN', '90004 --- NUM', '\n --- SPACE', 'Karakambadi --- PROPN', 'Tirupathi --- PROPN', 'Buyer --- PROPN', 'ref --- NOUN', 'Date --- PROPN', '\n --- SPACE', 'Tel;_Fax --- X', '0877- --- PUNCT', '285600 --- NUM', '\n --- SPACE', 'er --- INTJ', 'Consignee --- PROPN', '\n --- SPACE', 'NW --- PROPN', 'BATTERIEN --- PROPN', 'TRADING --- NOUN', 'NW --- PROPN', 'BATTERIEN --- PROPN', 'TRADING --- NOUN', '\n --- SPACE', 'ENTERPRISE --- PROPN', 'PTELTD --- PROPN', 'ENTERPRISE --- PROPN', 'PTE --- PROPN', 'LTD --- PROPN', '53 --- NUM', 'Ubi --- PROPN', 'Ave --- PROPN', '1,#03 --- NUM', '39 --- NUM', '\n --- SPACE', '53 --- NUM', 'Ubi --- PROPN', 'Ave --- PROPN', '1,#03 --- NUM', '39 --- NUM', '03 --- NUM', '40,Paya --- NUM', 'Ubi --- PROPN', 'Industrial --- PROPN', 'Park --- PROPN', '\n --- SPACE', '403 --- NUM', '40,Paya --- NUM', 'Ubi --- PROPN', 'Industrial --- PROPN', 'Park --- PROPN', '408934 --- NUM', 'Singapore --- PROPN', '\n --- SPACE', 'Notify --- PROPN', 'Party --- PROPN', '\n --- SPACE', 'Country --- NOUN', 'origin --- NOUN', 'goods --- NOUN', 'Country --- PROPN', 'Final --- PROPN', 'Destination --- PROPN', '\n --- SPACE', 'fats --- NOUN', 'Ese --- PROPN', 'Delivery --- PROPN', 'payment --- NOUN', 'CFR --- PROPN', 'Singapore --- PROPN', '\n --- SPACE', 'Carriage --- PROPN', 'Pre --- NOUN', 'carrier --- NOUN', 'CFR --- PROPN', '+ --- CCONJ', 'gonsPament --- PROPN', 'dOdayaferDucOOA --- PROPN', 'PARIBAS --- PROPN', 'Trend --- NOUN', '\n --- SPACE', 'ae --- PROPN', 'Towers --- PROPN', '101,Ground --- NUM', 'Floor --- PROPN', '-2 --- PUNCT', '269/10,Road --- NUM', '2 --- NUM', 'Banjara --- PROPN', 'Hills --- PROPN', 'Hyderabad --- PROPN', '540 --- NUM', '\n --- SPACE', 'Sea --- PROPN', 'iia --- PROPN', '034 --- NUM', 'INDIA --- PROPN', 'IndiaAccountNo --- PROPN', '0937810572300136 --- NUM', '\n --- SPACE', 'oe --- PROPN', 'oe --- PROPN', 'Le --- PROPN', '\n --- SPACE', '10 --- NUM', 'Wooden --- PROPN', 'Pallets --- PROPN', 'Stuffed --- VERB', '1x20 --- NUM', 'LeadAcidStorageBatteriesofalltypes- --- PROPN', '\n --- SPACE', 'india --- PROPN', 'Container --- NOUN', 'J2VMF(WET)LeadAcidAmaron --- NOUN', '\n --- SPACE', 'Hit --- VERB', 'ifeSLIBATTERIESHSCODE:8507 --- PROPN', '1000 --- NUM', '\n --- SPACE', 'Se --- PROPN', 'Container --- PROPN', 'Seal --- NOUN', 'Item --- NOUN', 'Code --- NOUN', 'Colour --- PROPN', 'Oty(Nos --- PROPN', 'oe --- PROPN', 'patent --- PROPN', 'Total --- PROPN', 'Total --- ADJ', '\n --- SPACE', 'TCKU --- PROPN', '325271 --- NUM', '1 --- NUM', 'BVKS --- PROPN', '00683 --- NUM', 'EAM --- PROPN', 'HL --- PROPN', 'OBH85D23L --- NUM', '576 --- NUM', '42.02 --- NUM', '24,203.52 --- NUM', '\n --- SPACE', 'EXX --- PROPN', 'AG-574102069 --- PROPN', '240 --- NUM', '60.60 --- NUM', '14,544.00 --- NUM', '\n --- SPACE', '1CNo --- NUM', 'NA --- NOUN', 'LC --- PROPN', 'Date --- NOUN', '\n --- SPACE', 'Words --- NOUN', 'USD --- PROPN', 'Th --- PROPN', 'IRTY --- PROPN', 'THOUSAND --- NUM', 'SEVEN --- NUM', 'SEVEN --- NUM', 'CENTS --- NOUN', '\n --- SPACE', 'Pat --- PROPN', '1600800837 --- NUM', 'DT --- PROPN', '21.02.2017 --- NUM', '\n --- SPACE', 'Declaration --- NOUN', 'declare --- VERB', 'Invoice --- PROPN', 'shows --- VERB', 'actual --- ADJ', 'price --- NOUN', 'gqogs --- NOUN', 'described --- VERB', 'particulars --- NOUN', 'truc --- ADJ', 'correct --- VERB', '\n --- SPACE', 'Bank --- PROPN', 'Address --- PROPN', 'Pye --- PROPN', 'oe --- PROPN', 'vy --- PROPN', 'F --- PROPN', '2S --- PROPN', '7 --- NUM', 'YATTERIES --- PROPN', 'LTD --- PROPN', '\n --- SPACE', 'fiat --- PROPN', 'eroret --- PROPN', 'BYE --- PROPN', '> --- X', 'ESL --- PROPN', 'p --- NOUN', '\n --- SPACE', 'G.V. --- PROPN', 'RAMANAIAH --- PROPN', 'SEV --- PROPN', 'FAN --- NOUN', 'cu --- NOUN', 'TA --- PROPN', '\n --- SPACE', 'xin --- X', 'wad --- PROPN', 'Hela --- PROPN', 'Gers --- PROPN', 'Ves --- PROPN', '4 --- NUM', 'LO --- PROPN', '1 --- NUM', '| --- ADJ', '\n --- SPACE', 'Customs --- PROPN', 'Central --- PROPN', 'Excise --- PROPN', 'eS --- NOUN', '\n --- SPACE', 'piaerasr --- PROPN', '| --- PROPN', 'freak --- PROPN', '\n --- SPACE', 'RANGE --- PROPN', 'II --- PROPN', 'TIRUPATI --- PROPN', '\n --- SPACE', 'RA --- PROPN', 'sees --- VERB', 'Treaty --- PROPN', 'onan --- NOUN', '\n --- SPACE', 'IIs --- PROPN', 'TIRUP --- PROPN', 'AR --- PROPN', '\n --- SPACE', 'wt --- ADP']"
